Epoch 1/200, training Loss: 0.5080 Acc: 0.8000, validation Loss: 0.8805 Acc: 0.3854, Time 0m 57s
Epoch 21/200, training Loss: 0.3374 Acc: 0.9752, validation Loss: 0.4104 Acc: 0.9089, Time 0m 58s
Epoch 22/200, training Loss: 0.3395 Acc: 0.9739, validation Loss: 0.4208 Acc: 0.8906, Time 0m 58s
Epoch 23/200, training Loss: 0.3314 Acc: 0.9818, validation Loss: 0.4146 Acc: 0.8958, Time 0m 58s
Epoch 24/200, training Loss: 0.3320 Acc: 0.9818, validation Loss: 0.4102 Acc: 0.8984, Time 0m 58s
Epoch 25/200, training Loss: 0.3327 Acc: 0.9798, validation Loss: 0.4210 Acc: 0.8880, Time 0m 58s
Epoch 26/200, training Loss: 0.3327 Acc: 0.9811, validation Loss: 0.4169 Acc: 0.8880, Time 0m 58s
Epoch 27/200, training Loss: 0.3317 Acc: 0.9818, validation Loss: 0.4108 Acc: 0.8958, Time 0m 59s
Epoch 28/200, training Loss: 0.3334 Acc: 0.9785, validation Loss: 0.4240 Acc: 0.8854, Time 0m 59s
Epoch 29/200, training Loss: 0.3294 Acc: 0.9850, validation Loss: 0.4182 Acc: 0.8932, Time 0m 59s
Epoch 30/200, training Loss: 0.3294 Acc: 0.9844, validation Loss: 0.4129 Acc: 0.8958, Time 0m 59s
Epoch 31/200, training Loss: 0.3269 Acc: 0.9870, validation Loss: 0.4158 Acc: 0.8932, Time 0m 59s
Epoch 32/200, training Loss: 0.3281 Acc: 0.9857, validation Loss: 0.4254 Acc: 0.8802, Time 0m 60s
Epoch 33/200, training Loss: 0.3263 Acc: 0.9876, validation Loss: 0.4127 Acc: 0.8932, Time 0m 59s
Epoch 34/200, training Loss: 0.3265 Acc: 0.9857, validation Loss: 0.4101 Acc: 0.8984, Time 0m 58s
Epoch 35/200, training Loss: 0.3277 Acc: 0.9857, validation Loss: 0.4210 Acc: 0.8828, Time 0m 59s
Epoch 36/200, training Loss: 0.3268 Acc: 0.9863, validation Loss: 0.4273 Acc: 0.8750, Time 0m 59s
Epoch 37/200, training Loss: 0.3273 Acc: 0.9857, validation Loss: 0.4106 Acc: 0.8984, Time 0m 58s
Epoch 38/200, training Loss: 0.3259 Acc: 0.9876, validation Loss: 0.4131 Acc: 0.8932, Time 0m 59s
Epoch 39/200, training Loss: 0.3261 Acc: 0.9876, validation Loss: 0.4131 Acc: 0.8932, Time 0m 58s
Epoch 40/200, training Loss: 0.3275 Acc: 0.9857, validation Loss: 0.4243 Acc: 0.8828, Time 0m 58s
Epoch 41/200, training Loss: 0.3266 Acc: 0.9870, validation Loss: 0.4146 Acc: 0.9010, Time 0m 58s
Epoch 42/200, training Loss: 0.3255 Acc: 0.9876, validation Loss: 0.4151 Acc: 0.8958, Time 0m 58s
Epoch 43/200, training Loss: 0.3277 Acc: 0.9857, validation Loss: 0.4143 Acc: 0.8984, Time 0m 58s
Epoch 44/200, training Loss: 0.3259 Acc: 0.9870, validation Loss: 0.4136 Acc: 0.9010, Time 0m 58s
Epoch 45/200, training Loss: 0.3249 Acc: 0.9883, validation Loss: 0.4123 Acc: 0.8984, Time 0m 58s
Epoch 46/200, training Loss: 0.3258 Acc: 0.9870, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 47/200, training Loss: 0.3269 Acc: 0.9870, validation Loss: 0.4127 Acc: 0.9010, Time 0m 58s
Epoch 48/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4116 Acc: 0.9010, Time 0m 59s
Epoch 49/200, training Loss: 0.3247 Acc: 0.9883, validation Loss: 0.4112 Acc: 0.8958, Time 0m 59s
Epoch 50/200, training Loss: 0.3278 Acc: 0.9857, validation Loss: 0.4116 Acc: 0.8932, Time 0m 58s
Epoch 51/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4118 Acc: 0.8958, Time 0m 58s
Epoch 52/200, training Loss: 0.3254 Acc: 0.9883, validation Loss: 0.4116 Acc: 0.8984, Time 0m 58s
Epoch 53/200, training Loss: 0.3249 Acc: 0.9889, validation Loss: 0.4108 Acc: 0.8958, Time 0m 58s
Epoch 54/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4126 Acc: 0.8958, Time 0m 58s
Epoch 55/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8958, Time 0m 58s
Epoch 56/200, training Loss: 0.3263 Acc: 0.9863, validation Loss: 0.4113 Acc: 0.8958, Time 0m 58s
Epoch 57/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4114 Acc: 0.8984, Time 0m 59s
Epoch 58/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 59/200, training Loss: 0.3256 Acc: 0.9876, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 60/200, training Loss: 0.3250 Acc: 0.9883, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 61/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 62/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4124 Acc: 0.8932, Time 0m 58s
Epoch 63/200, training Loss: 0.3242 Acc: 0.9896, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 64/200, training Loss: 0.3250 Acc: 0.9889, validation Loss: 0.4114 Acc: 0.8984, Time 0m 59s
Epoch 65/200, training Loss: 0.3261 Acc: 0.9883, validation Loss: 0.4117 Acc: 0.8958, Time 0m 58s
Epoch 66/200, training Loss: 0.3253 Acc: 0.9883, validation Loss: 0.4123 Acc: 0.8958, Time 0m 58s
Epoch 67/200, training Loss: 0.3251 Acc: 0.9889, validation Loss: 0.4124 Acc: 0.8958, Time 0m 58s
Epoch 68/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4116 Acc: 0.8984, Time 0m 58s
Epoch 69/200, training Loss: 0.3255 Acc: 0.9876, validation Loss: 0.4119 Acc: 0.8984, Time 0m 58s
Epoch 70/200, training Loss: 0.3261 Acc: 0.9870, validation Loss: 0.4126 Acc: 0.8984, Time 0m 58s
Epoch 71/200, training Loss: 0.3242 Acc: 0.9889, validation Loss: 0.4128 Acc: 0.8958, Time 0m 58s
Epoch 72/200, training Loss: 0.3257 Acc: 0.9876, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 73/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4121 Acc: 0.8984, Time 0m 58s
Epoch 74/200, training Loss: 0.3266 Acc: 0.9863, validation Loss: 0.4115 Acc: 0.8958, Time 0m 58s
Epoch 75/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 76/200, training Loss: 0.3259 Acc: 0.9876, validation Loss: 0.4117 Acc: 0.8958, Time 0m 58s
Epoch 77/200, training Loss: 0.3254 Acc: 0.9883, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 78/200, training Loss: 0.3255 Acc: 0.9876, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 79/200, training Loss: 0.3252 Acc: 0.9876, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 80/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8958, Time 0m 58s
Epoch 81/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 82/200, training Loss: 0.3240 Acc: 0.9896, validation Loss: 0.4123 Acc: 0.8984, Time 0m 58s
Epoch 83/200, training Loss: 0.3257 Acc: 0.9870, validation Loss: 0.4122 Acc: 0.8958, Time 0m 58s
Epoch 84/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8958, Time 0m 58s
Epoch 85/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4123 Acc: 0.8958, Time 0m 58s
Epoch 86/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4123 Acc: 0.8958, Time 0m 58s
Epoch 87/200, training Loss: 0.3239 Acc: 0.9896, validation Loss: 0.4129 Acc: 0.8932, Time 0m 58s
Epoch 88/200, training Loss: 0.3243 Acc: 0.9896, validation Loss: 0.4125 Acc: 0.8958, Time 0m 58s
Epoch 89/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4116 Acc: 0.8984, Time 0m 58s
Epoch 90/200, training Loss: 0.3239 Acc: 0.9896, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 91/200, training Loss: 0.3250 Acc: 0.9889, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 92/200, training Loss: 0.3273 Acc: 0.9857, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 93/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 94/200, training Loss: 0.3270 Acc: 0.9870, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 95/200, training Loss: 0.3247 Acc: 0.9883, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 96/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 97/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4119 Acc: 0.8984, Time 0m 58s
Epoch 98/200, training Loss: 0.3241 Acc: 0.9896, validation Loss: 0.4116 Acc: 0.8984, Time 0m 58s
Epoch 99/200, training Loss: 0.3266 Acc: 0.9870, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 100/200, training Loss: 0.3243 Acc: 0.9896, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 101/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 102/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 103/200, training Loss: 0.3246 Acc: 0.9883, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 104/200, training Loss: 0.3273 Acc: 0.9857, validation Loss: 0.4123 Acc: 0.8958, Time 0m 58s
Epoch 105/200, training Loss: 0.3251 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 106/200, training Loss: 0.3243 Acc: 0.9889, validation Loss: 0.4116 Acc: 0.8958, Time 0m 58s
Epoch 107/200, training Loss: 0.3256 Acc: 0.9870, validation Loss: 0.4111 Acc: 0.8984, Time 0m 58s
Epoch 108/200, training Loss: 0.3258 Acc: 0.9876, validation Loss: 0.4112 Acc: 0.8984, Time 0m 58s
Epoch 109/200, training Loss: 0.3243 Acc: 0.9896, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 110/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4126 Acc: 0.8958, Time 0m 58s
Epoch 111/200, training Loss: 0.3255 Acc: 0.9883, validation Loss: 0.4124 Acc: 0.8958, Time 0m 59s
Epoch 112/200, training Loss: 0.3269 Acc: 0.9863, validation Loss: 0.4121 Acc: 0.8984, Time 0m 58s
Epoch 113/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 114/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 115/200, training Loss: 0.3264 Acc: 0.9863, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 116/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 117/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8958, Time 0m 58s
Epoch 118/200, training Loss: 0.3239 Acc: 0.9896, validation Loss: 0.4131 Acc: 0.8932, Time 0m 58s
Epoch 119/200, training Loss: 0.3239 Acc: 0.9896, validation Loss: 0.4116 Acc: 0.8958, Time 0m 58s
Epoch 120/200, training Loss: 0.3238 Acc: 0.9896, validation Loss: 0.4120 Acc: 0.8984, Time 0m 58s
Epoch 121/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4109 Acc: 0.8984, Time 0m 58s
Epoch 122/200, training Loss: 0.3242 Acc: 0.9896, validation Loss: 0.4116 Acc: 0.8984, Time 0m 59s
Epoch 123/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8984, Time 0m 58s
Epoch 124/200, training Loss: 0.3240 Acc: 0.9896, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 125/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 126/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 127/200, training Loss: 0.3247 Acc: 0.9883, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 128/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 129/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4126 Acc: 0.8958, Time 0m 58s
Epoch 130/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 131/200, training Loss: 0.3250 Acc: 0.9883, validation Loss: 0.4115 Acc: 0.8958, Time 0m 58s
Epoch 132/200, training Loss: 0.3260 Acc: 0.9870, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 133/200, training Loss: 0.3249 Acc: 0.9889, validation Loss: 0.4116 Acc: 0.8958, Time 0m 58s
Epoch 134/200, training Loss: 0.3243 Acc: 0.9896, validation Loss: 0.4126 Acc: 0.8984, Time 0m 58s
Epoch 135/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8958, Time 0m 58s
Epoch 136/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 137/200, training Loss: 0.3265 Acc: 0.9870, validation Loss: 0.4111 Acc: 0.8984, Time 0m 58s
Epoch 138/200, training Loss: 0.3240 Acc: 0.9896, validation Loss: 0.4118 Acc: 0.8984, Time 0m 58s
Epoch 139/200, training Loss: 0.3257 Acc: 0.9870, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 140/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 141/200, training Loss: 0.3251 Acc: 0.9876, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 142/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4123 Acc: 0.8958, Time 0m 58s
Epoch 143/200, training Loss: 0.3244 Acc: 0.9896, validation Loss: 0.4118 Acc: 0.8958, Time 0m 58s
Epoch 144/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4108 Acc: 0.8984, Time 0m 58s
Epoch 145/200, training Loss: 0.3243 Acc: 0.9889, validation Loss: 0.4114 Acc: 0.8984, Time 0m 59s
Epoch 146/200, training Loss: 0.3250 Acc: 0.9883, validation Loss: 0.4116 Acc: 0.8984, Time 0m 58s
Epoch 147/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4122 Acc: 0.8984, Time 0m 58s
Epoch 148/200, training Loss: 0.3275 Acc: 0.9850, validation Loss: 0.4112 Acc: 0.8984, Time 0m 59s
Epoch 149/200, training Loss: 0.3253 Acc: 0.9889, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 150/200, training Loss: 0.3241 Acc: 0.9896, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 151/200, training Loss: 0.3239 Acc: 0.9896, validation Loss: 0.4119 Acc: 0.8984, Time 0m 58s
Epoch 152/200, training Loss: 0.3278 Acc: 0.9857, validation Loss: 0.4118 Acc: 0.8984, Time 0m 58s
Epoch 153/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 154/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4120 Acc: 0.8958, Time 0m 59s
Epoch 155/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4116 Acc: 0.8958, Time 0m 58s
Epoch 156/200, training Loss: 0.3242 Acc: 0.9889, validation Loss: 0.4110 Acc: 0.8984, Time 0m 58s
Epoch 157/200, training Loss: 0.3245 Acc: 0.9883, validation Loss: 0.4122 Acc: 0.8958, Time 0m 58s
Epoch 158/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 159/200, training Loss: 0.3247 Acc: 0.9889, validation Loss: 0.4110 Acc: 0.8984, Time 0m 58s
Epoch 160/200, training Loss: 0.3258 Acc: 0.9876, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 161/200, training Loss: 0.3251 Acc: 0.9889, validation Loss: 0.4116 Acc: 0.8984, Time 0m 58s
Epoch 162/200, training Loss: 0.3245 Acc: 0.9889, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 163/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8984, Time 0m 58s
Epoch 164/200, training Loss: 0.3262 Acc: 0.9876, validation Loss: 0.4124 Acc: 0.8958, Time 0m 58s
Epoch 165/200, training Loss: 0.3246 Acc: 0.9889, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 166/200, training Loss: 0.3249 Acc: 0.9883, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 167/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8958, Time 0m 59s
Epoch 168/200, training Loss: 0.3241 Acc: 0.9896, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 169/200, training Loss: 0.3250 Acc: 0.9883, validation Loss: 0.4123 Acc: 0.8984, Time 0m 58s
Epoch 170/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4125 Acc: 0.8984, Time 0m 58s
Epoch 171/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4127 Acc: 0.8984, Time 0m 58s
Epoch 172/200, training Loss: 0.3256 Acc: 0.9876, validation Loss: 0.4114 Acc: 0.8984, Time 0m 58s
Epoch 173/200, training Loss: 0.3248 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8984, Time 0m 58s
Epoch 174/200, training Loss: 0.3253 Acc: 0.9883, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Epoch 175/200, training Loss: 0.3255 Acc: 0.9876, validation Loss: 0.4122 Acc: 0.8958, Time 0m 58s
Epoch 176/200, training Loss: 0.3254 Acc: 0.9883, validation Loss: 0.4120 Acc: 0.8958, Time 0m 59s
Epoch 177/200, training Loss: 0.3243 Acc: 0.9889, validation Loss: 0.4118 Acc: 0.8958, Time 0m 58s
Epoch 178/200, training Loss: 0.3264 Acc: 0.9870, validation Loss: 0.4125 Acc: 0.8958, Time 0m 58s
Epoch 179/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4120 Acc: 0.8958, Time 0m 58s
Epoch 180/200, training Loss: 0.3249 Acc: 0.9883, validation Loss: 0.4115 Acc: 0.8984, Time 0m 59s
Epoch 181/200, training Loss: 0.3251 Acc: 0.9883, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 182/200, training Loss: 0.3239 Acc: 0.9896, validation Loss: 0.4120 Acc: 0.8984, Time 0m 58s
Epoch 183/200, training Loss: 0.3241 Acc: 0.9896, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 184/200, training Loss: 0.3259 Acc: 0.9876, validation Loss: 0.4124 Acc: 0.8958, Time 0m 59s
Epoch 185/200, training Loss: 0.3241 Acc: 0.9896, validation Loss: 0.4122 Acc: 0.8958, Time 0m 58s
Epoch 186/200, training Loss: 0.3253 Acc: 0.9883, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 187/200, training Loss: 0.3263 Acc: 0.9863, validation Loss: 0.4112 Acc: 0.8984, Time 0m 58s
Epoch 188/200, training Loss: 0.3249 Acc: 0.9883, validation Loss: 0.4121 Acc: 0.8958, Time 0m 58s
Epoch 189/200, training Loss: 0.3256 Acc: 0.9870, validation Loss: 0.4117 Acc: 0.8984, Time 0m 59s
Epoch 190/200, training Loss: 0.3241 Acc: 0.9896, validation Loss: 0.4116 Acc: 0.8958, Time 0m 58s
Epoch 191/200, training Loss: 0.3252 Acc: 0.9883, validation Loss: 0.4119 Acc: 0.8958, Time 0m 58s
Epoch 192/200, training Loss: 0.3255 Acc: 0.9876, validation Loss: 0.4122 Acc: 0.8958, Time 0m 58s
Epoch 193/200, training Loss: 0.3255 Acc: 0.9883, validation Loss: 0.4117 Acc: 0.8984, Time 0m 58s
Epoch 194/200, training Loss: 0.3244 Acc: 0.9889, validation Loss: 0.4124 Acc: 0.8984, Time 0m 58s
Epoch 195/200, training Loss: 0.3240 Acc: 0.9896, validation Loss: 0.4114 Acc: 0.8984, Time 0m 59s
Epoch 196/200, training Loss: 0.3266 Acc: 0.9870, validation Loss: 0.4122 Acc: 0.8958, Time 0m 58s
Epoch 197/200, training Loss: 0.3243 Acc: 0.9889, validation Loss: 0.4117 Acc: 0.8958, Time 0m 59s
Epoch 198/200, training Loss: 0.3242 Acc: 0.9896, validation Loss: 0.4115 Acc: 0.8958, Time 0m 59s
Epoch 199/200, training Loss: 0.3246 Acc: 0.9883, validation Loss: 0.4113 Acc: 0.8984, Time 0m 58s
Epoch 200/200, training Loss: 0.3240 Acc: 0.9896, validation Loss: 0.4115 Acc: 0.8984, Time 0m 58s
Time 194m 35s
Best val Acc: 0.908854 at epoch 20
